query,evidence,x1,x2,x3,objective
1,starter,0.1715252068810621,0.3439168702758373,0.2487372010692387,-0.11212220046256897
2,starter,0.2421144606124933,0.6440742697791076,0.27243280919945523,-0.08796286022736445
3,starter,0.5349057202251034,0.39850091536763166,0.17338872894567725,-0.111414654295324
4,starter,0.49258141463713434,0.6115931882759961,0.3401763860035727,-0.034835313350078584
5,starter,0.13462166632061112,0.2199172404897456,0.45820621964922703,-0.04800758439218157
6,starter,0.3455232705197697,0.9413598305723256,0.2693634790694064,-0.11062091307282658
7,starter,0.151836632374168,0.43999061896644376,0.990881866558951,-0.3989255131463011
8,starter,0.6455028351793182,0.3971429395797703,0.9197713377032198,-0.11386851478863991
9,starter,0.7469119451655177,0.28419630922573424,0.22629985488752546,-0.13146060864136055
10,starter,0.17047699396968063,0.697032400686134,0.14916943370830027,-0.09418956091057398
11,starter,0.2205493370831766,0.2978252442230862,0.34355534441672586,-0.04694740582651916
12,starter,0.6660136587669346,0.6719851513369297,0.2462952966705313,-0.10596503573558178
13,starter,0.046808949722497384,0.2313602407834674,0.7706175921643,-0.11804825644688696
14,starter,0.6000972824185008,0.7251357252228826,0.06608864149534865,-0.036377828071632486
15,starter,0.9659948489488087,0.8611196897300882,0.5668291312870885,-0.05675837155397648
16,recorded,0.444444,0.666666,0.333333,-0.04090761844901528
17,recorded,0.657452,0.998464,0.817253,-0.08987474979637637
18,recorded,0.670026,0.057881,0.658241,-0.18323876643005035
19,recorded,0.650132,0.218327,0.110542,-0.08251349582236739
20,recorded,0.522711,0.090769,0.451242,-0.05739710166867316
