query,evidence,x1,x2,x3,x4,x5,objective
1,starter,0.7281861047460138,0.1546925696237983,0.7325516687239811,0.6939965090690888,0.056401310518258585,-0.7142649478202404
2,starter,0.24238434723790758,0.8440999723462298,0.5778090988182423,0.6790212842838805,0.5019528879463457,-1.2099552446764819
3,starter,0.7295226100931684,0.7481062003003915,0.6797746408949024,0.3565522793389573,0.6710536834597941,-1.6721999396105658
4,starter,0.770620241725545,0.11440374416322774,0.0467799318531783,0.6483242845395736,0.2735490526883131,-1.5360577085694833
5,starter,0.6188122987341569,0.33180213718420826,0.18728786777392725,0.756238474019041,0.3288347983365967,-0.8292365522578722
6,starter,0.7849580941321159,0.9106823491056887,0.7081201035127033,0.9592254289504146,0.004911495864404647,-1.2470489267904978
7,starter,0.14511078573766278,0.8966845977360148,0.8963222346125226,0.7262715366744776,0.23627199091209328,-1.2337863805718483
8,starter,0.9450690681186655,0.28845905059517574,0.9788057635601997,0.9616555869902994,0.5980159363909763,-1.6943434420704928
9,starter,0.12572015503019873,0.8627246921598651,0.028544332231059788,0.24660527193052817,0.7512062409044311,-2.5711696316081234
10,starter,0.7575943553544202,0.35583141491553005,0.01652289968556364,0.43420720498662724,0.1124330443582503,-1.309116352823696
11,starter,0.5367969034860786,0.30878090723949325,0.41187928506492233,0.388225176718074,0.5225283039122706,-1.1447848512705794
12,starter,0.9577396688833609,0.23566857232470817,0.09914584955722228,0.1568059338564619,0.07131737310621111,-1.9126771431925136
13,starter,0.6293078953337721,0.803483678101385,0.8114084389735914,0.045613185779449616,0.11062446198967957,-1.622838951777173
14,starter,0.021735307663796388,0.42808424031907244,0.8359394371193622,0.48948865944643416,0.511081734720247,-1.3566821093823407
15,starter,0.4393442638884286,0.6989238329035616,0.4268202222118266,0.10947608505219697,0.8778884681100685,-2.018425399374782
16,starter,0.2589055738489062,0.7936777082611537,0.6421139049230902,0.19667346401384578,0.593103176750458,-1.7025578405650035
17,starter,0.4321659328846983,0.7156178127534056,0.3418191030223866,0.7049998807959096,0.6149618447218453,-1.2942469649550403
18,starter,0.7828798232609253,0.5363358585071114,0.4432835567472584,0.8596998258165416,0.010325990675527863,-0.9357565553342914
19,starter,0.9217761980413874,0.9318712161635005,0.41487636976457365,0.5950572655783101,0.7356256864317131,-2.1557677641786004
20,starter,0.12667891706137568,0.29147030149847064,0.06452847667069161,0.6805146028541535,0.892819191058788,-1.7468820870493065
21,recorded,0.728186,0.154693,0.732552,0.693997,0.564013,-1.1520351120911565
22,recorded,0.433654,0.486678,0.282753,0.972905,0.323321,-0.8782405650300305
23,recorded,0.49507,0.097152,0.672921,7e-06,0.351268,-1.339542402620705
24,recorded,0.973181,0.022807,0.714484,0.145453,0.97479,-2.4375082517089726
25,recorded,0.824244,0.022732,0.960907,0.041715,0.89756,-2.5293691850310744
26,recorded,0.78177,0.192076,0.805757,0.695733,0.56594,-1.3125396070217887
27,recorded,0.68383,0.035248,0.777884,0.740721,0.62931,-1.2870894592671105
28,recorded,0.994993,0.316819,0.508801,0.557706,0.579403,-1.4794522548883542
29,recorded,0.711755,0.17567,0.738396,0.689597,0.562717,-1.1717131510084098
30,recorded,0.853051,0.152023,0.700695,0.554516,0.611033,-1.4490886989479597
