query,evidence,x1,x2,objective
1,starter,0.31940388883889725,0.7629593742689353,1.3226770395454077e-79
2,starter,0.5743292145098291,0.879898104984359,1.0330782375230975e-46
3,starter,0.7310236309563586,0.7329998764152272,7.710875114502849e-16
4,starter,0.8403534169072556,0.26473161399676703,3.341771007676023e-124
5,starter,0.6501140597987644,0.6815263520602101,-0.0036060626443634764
6,starter,0.41043713662518566,0.14755429902998185,-2.1592490357331095e-54
7,starter,0.31269115679477755,0.07872277794971883,-2.0890932702320842e-91
8,starter,0.6834181688515067,0.8610574643936101,2.5350011535584046e-40
9,starter,0.08250725182080587,0.403487506426324,3.6067711901420254e-81
10,starter,0.8838898288181171,0.5822539743824439,6.229856468168659e-48
11,recorded,0.37454,0.950714,-1.560646704467778e-117
12,recorded,0.536429,0.835362,1.674933466363685e-36
13,recorded,0.614168,0.334143,-1.0755942664604116e-32
14,recorded,0.872626,0.321598,-2.4666412561217706e-107
15,recorded,0.897714,0.081699,7.6512102255565565e-239
16,recorded,0.222521,0.999673,6.131855211153796e-211
17,recorded,0.35042,0.999543,-6.738616132275143e-151
18,recorded,0.397837,0.919531,-1.7723999829558996e-96
19,recorded,0.42141,0.935804,-3.089423814911752e-96
20,recorded,0.379403,0.071186,-4.5921413403053304e-89
21,recorded,0.353293,0.956697,8.159220183163013e-130
